FaceID,ParticipantID,FirstRating,SecondRating,GroupTrustMean,Feedback,agent_type
1,1,5,2,4,0,Balanced
1,2,8,8,4,-3,Balanced
1,3,3,3,6,3,Balanced
1,4,4,6,4,1,Balanced
1,5,4,4,4,1,Balanced
1,6,3,3,4,2,Balanced
1,7,5,6,4,0,Balanced
1,8,6,6,4,-1,Balanced
1,9,4,5,4,1,Balanced
1,10,6,4,4,-1,Balanced
1,11,6,6,4,-1,Balanced
1,12,2,3,4,3,Balanced
1,13,3,6,4,2,Balanced
1,14,6,5,4,-1,Balanced
1,15,5,3,4,0,Balanced
1,16,4,6,4,1,Balanced
1,17,4,4,4,1,Balanced
1,18,4,6,4,1,Balanced
1,19,5,6,4,0,Balanced
1,20,4,6,4,1,Balanced
1,21,3,3,4,2,Balanced
1,22,6,4,3,-2,Balanced
1,23,4,4,4,1,Balanced
1,24,3,5,4,2,Balanced
1,25,5,3,3,-1,Balanced
1,26,4,6,3,0,Balanced
1,27,4,5,3,0,Balanced
1,28,6,4,3,-2,Balanced
1,29,5,6,4,0,Balanced
1,30,6,5,4,-1,Balanced
1,31,4,8,4,1,Balanced
1,32,4,3,4,1,Balanced
1,33,4,3,4,1,Balanced
1,34,6,3,4,-1,Balanced
1,35,4,4,4,1,Balanced
1,36,5,7,4,0,Balanced
1,37,6,7,4,-1,Balanced
1,38,5,5,4,0,Balanced
1,39,5,7,4,0,Balanced
1,40,5,6,4,0,Balanced
1,41,5,6,4,0,Balanced
1,42,4,6,4,1,Balanced
1,43,5,4,4,0,Balanced
1,44,3,5,4,2,Balanced
1,45,4,4,4,1,Balanced
1,46,5,8,4,0,Balanced
1,47,2,4,4,3,Balanced
1,48,4,6,4,1,Balanced
1,49,7,5,4,-2,Balanced
1,50,4,5,4,1,Balanced
1,51,5,3,4,0,Balanced
1,52,4,1,4,1,Balanced
1,53,5,4,4,0,Balanced
1,54,4,3,4,1,Balanced
1,55,4,6,4,1,Balanced
1,56,5,6,4,0,Balanced
1,57,6,4,4,-1,Balanced
1,58,5,5,4,0,Balanced
1,59,5,4,4,0,Balanced
1,60,3,6,4,2,Balanced
1,61,4,5,4,1,Balanced
1,62,6,5,4,-1,Balanced
1,63,5,4,4,0,Balanced
1,64,5,4,4,0,Balanced
1,65,5,4,4,0,Balanced
1,66,5,6,4,0,Balanced
1,67,2,5,4,3,Balanced
1,68,2,3,4,3,Balanced
1,69,6,7,4,-1,Balanced
1,70,4,2,4,1,Balanced
1,71,7,4,4,-2,Balanced
1,72,3,2,4,2,Balanced
1,73,2,4,4,3,Balanced
1,74,3,4,4,2,Balanced
1,75,5,5,4,0,Balanced
1,76,3,6,4,2,Balanced
1,77,4,6,3,0,Balanced
1,78,7,7,3,-3,Balanced
1,79,3,5,4,2,Balanced
1,80,5,4,3,-1,Balanced
1,81,4,5,4,1,Balanced
1,82,4,3,3,0,Balanced
1,83,8,6,3,-3,Balanced
1,84,4,5,4,1,Balanced
1,85,8,6,4,-3,Balanced
1,86,3,4,4,2,Balanced
1,87,4,5,4,1,Balanced
1,88,4,6,4,1,Balanced
1,89,5,4,4,0,Balanced
1,90,5,4,4,0,Balanced
1,91,6,5,4,-1,Balanced
1,92,6,7,4,-1,Balanced
1,93,3,6,4,2,Balanced
1,94,6,5,4,-1,Balanced
1,95,5,2,4,0,Balanced
1,96,5,7,4,0,Balanced
1,97,4,7,4,1,Balanced
1,98,3,3,4,2,Balanced
1,99,5,4,4,0,Balanced
1,100,2,2,4,3,Balanced
1,101,4,4,4,1,Balanced
1,102,4,4,4,1,Balanced
1,103,6,6,4,-1,Balanced
1,104,6,5,4,-1,Balanced
1,105,6,4,4,-1,Balanced
1,106,6,5,4,-1,Balanced
1,107,6,4,4,-1,Balanced
1,108,3,4,4,2,Balanced
1,109,3,7,4,2,Balanced
1,110,4,4,4,1,Balanced
1,111,2,4,4,3,Balanced
1,112,5,6,4,0,Balanced
1,113,4,6,4,1,Balanced
1,114,5,3,4,0,Balanced
1,115,3,4,4,2,Balanced
1,116,6,5,4,-1,Balanced
1,117,4,2,4,1,Balanced
1,118,4,3,4,1,Balanced
1,119,5,4,4,0,Balanced
1,120,5,1,4,0,Balanced
1,121,3,3,4,2,Balanced
1,122,3,6,4,2,Balanced
1,123,3,4,4,2,Balanced
1,124,5,5,4,0,Balanced
1,125,2,1,4,3,Balanced
1,126,7,4,3,-3,Balanced
1,127,5,5,4,0,Balanced
1,128,4,3,4,1,Balanced
1,129,6,5,4,-1,Balanced
1,130,5,3,4,0,Balanced
1,131,5,4,4,0,Balanced
1,132,6,1,4,-1,Balanced
1,133,5,5,4,0,Balanced
1,134,4,2,4,1,Balanced
1,135,4,3,4,1,Balanced
1,136,4,5,4,1,Balanced
1,137,5,5,4,0,Balanced
1,138,5,6,4,0,Balanced
1,139,7,5,4,-2,Balanced
1,140,6,7,4,-1,Balanced
1,141,5,3,4,0,Balanced
1,142,5,4,4,0,Balanced
1,143,3,5,4,2,Balanced
1,144,6,4,4,-1,Balanced
1,145,4,5,4,1,Balanced
1,146,3,5,4,2,Balanced
1,147,5,4,4,0,Balanced
1,148,5,5,4,0,Balanced
1,149,6,6,4,-1,Balanced
1,150,5,3,4,0,Balanced
1,151,4,5,4,1,Balanced
1,152,7,6,4,-2,Balanced
1,153,5,5,4,0,Balanced
1,154,3,8,4,2,Balanced
1,155,4,4,4,1,Balanced
1,156,5,4,4,0,Balanced
1,157,8,7,4,-3,Balanced
1,158,5,5,4,0,Balanced
1,159,5,5,4,0,Balanced
1,160,4,6,4,1,Balanced
1,161,6,6,4,-1,Balanced
1,162,4,4,4,1,Balanced
1,163,5,3,4,0,Balanced
1,164,6,2,4,-1,Balanced
1,165,5,8,4,0,Balanced
