FaceID,ParticipantID,FirstRating,SecondRating,GroupTrustMean,Feedback,agent_type
1,1,3,3,2,0,Socially-Influenced
1,2,4,1,2,-1,Socially-Influenced
1,3,3,4,2,0,Socially-Influenced
1,4,5,3,2,-2,Socially-Influenced
1,5,2,4,3,2,Socially-Influenced
1,6,5,5,2,-2,Socially-Influenced
1,7,6,8,3,-2,Socially-Influenced
1,8,2,2,3,2,Socially-Influenced
1,9,5,5,3,-1,Socially-Influenced
1,10,3,3,3,1,Socially-Influenced
1,11,3,3,3,1,Socially-Influenced
1,12,4,4,3,0,Socially-Influenced
1,13,6,8,3,-2,Socially-Influenced
1,14,5,4,3,-1,Socially-Influenced
1,15,3,5,3,1,Socially-Influenced
1,16,3,5,3,1,Socially-Influenced
1,17,5,3,3,-1,Socially-Influenced
1,18,3,4,3,1,Socially-Influenced
1,19,4,4,3,0,Socially-Influenced
1,20,1,1,3,3,Socially-Influenced
1,21,4,4,3,0,Socially-Influenced
1,22,5,3,3,-1,Socially-Influenced
1,23,5,4,3,-1,Socially-Influenced
1,24,5,4,3,-1,Socially-Influenced
1,25,5,8,3,-1,Socially-Influenced
1,26,3,2,3,1,Socially-Influenced
1,27,6,3,3,-2,Socially-Influenced
1,28,4,3,3,0,Socially-Influenced
1,29,4,4,3,0,Socially-Influenced
1,30,4,5,3,0,Socially-Influenced
1,31,5,5,3,-1,Socially-Influenced
1,32,5,5,3,-1,Socially-Influenced
1,33,3,4,3,1,Socially-Influenced
1,34,5,4,3,-1,Socially-Influenced
1,35,4,6,3,0,Socially-Influenced
1,36,6,6,3,-2,Socially-Influenced
1,37,5,3,3,-1,Socially-Influenced
1,38,4,1,3,0,Socially-Influenced
1,39,3,3,3,1,Socially-Influenced
1,40,6,4,3,-2,Socially-Influenced
1,41,3,4,3,1,Socially-Influenced
1,42,4,1,3,0,Socially-Influenced
1,43,3,2,3,1,Socially-Influenced
1,44,2,3,3,2,Socially-Influenced
1,45,5,4,3,-1,Socially-Influenced
1,46,5,4,3,-1,Socially-Influenced
1,47,3,3,3,1,Socially-Influenced
1,48,5,3,3,-1,Socially-Influenced
1,49,5,3,3,-1,Socially-Influenced
1,50,4,6,3,0,Socially-Influenced
1,51,4,7,3,0,Socially-Influenced
1,52,7,7,3,-3,Socially-Influenced
1,53,3,1,3,1,Socially-Influenced
1,54,5,5,3,-1,Socially-Influenced
1,55,3,3,3,1,Socially-Influenced
1,56,7,6,3,-3,Socially-Influenced
1,57,7,5,3,-3,Socially-Influenced
1,58,3,2,3,1,Socially-Influenced
1,59,5,5,3,-1,Socially-Influenced
1,60,5,5,3,-1,Socially-Influenced
1,61,3,2,3,1,Socially-Influenced
1,62,3,6,3,1,Socially-Influenced
1,63,5,6,3,-1,Socially-Influenced
1,64,3,1,3,1,Socially-Influenced
1,65,6,2,3,-2,Socially-Influenced
1,66,7,5,3,-3,Socially-Influenced
1,67,3,3,3,1,Socially-Influenced
1,68,4,3,3,0,Socially-Influenced
1,69,3,2,3,1,Socially-Influenced
1,70,4,3,3,0,Socially-Influenced
1,71,5,5,3,-1,Socially-Influenced
1,72,3,5,3,1,Socially-Influenced
1,73,6,5,3,-2,Socially-Influenced
1,74,5,7,3,-1,Socially-Influenced
1,75,6,5,3,-2,Socially-Influenced
1,76,4,3,3,0,Socially-Influenced
1,77,4,4,3,0,Socially-Influenced
1,78,3,4,3,1,Socially-Influenced
1,79,5,2,3,-1,Socially-Influenced
1,80,3,4,3,1,Socially-Influenced
