FaceID,ParticipantID,FirstRating,SecondRating,Feedback,GroupMean
1,1,2,3,0,2
1,2,4,3,-2,2
1,3,4,4,-1,3
1,4,6,5,-3,3.33
1,5,3,3,1,4
1,6,6,5,-2,3.8
1,7,4,4,0,4.17
1,8,2,3,2,4.14
1,9,4,3,-0,3.88
1,10,3,4,1,3.89
1,11,2,3,2,3.8
1,12,3,3,1,3.64
1,13,4,4,-0,3.58
1,14,3,4,1,3.62
1,15,2,1,2,3.57
1,16,6,5,-3,3.47
1,17,3,3,1,3.62
1,18,4,4,-0,3.59
1,19,2,2,2,3.61
1,20,6,4,-2,3.53
1,21,3,4,1,3.65
1,22,3,4,1,3.62
1,23,3,3,1,3.59
1,24,4,3,-0,3.57
1,25,3,3,1,3.58
1,26,5,4,-1,3.56
1,27,3,3,1,3.62
1,28,3,3,1,3.59
1,29,2,3,2,3.57
1,30,4,5,-0,3.52
1,31,4,3,-0,3.53
1,32,2,3,2,3.55
1,33,3,3,0,3.5
1,34,3,4,0,3.48
1,35,2,2,1,3.47
1,36,4,4,-1,3.43
1,37,4,5,-1,3.44
1,38,3,3,0,3.46
1,39,5,3,-2,3.45
1,40,3,4,0,3.49
1,41,3,4,0,3.48
1,42,4,4,-1,3.46
1,43,4,3,-1,3.48
1,44,3,3,0,3.49
1,45,4,5,-1,3.48
1,46,4,3,-1,3.49
1,47,4,3,-0,3.5
1,48,4,4,-0,3.51
1,49,4,4,-0,3.52
1,50,4,4,-0,3.53
1,51,5,4,-1,3.54
1,52,2,3,2,3.57
1,53,2,3,2,3.54
1,54,5,4,-1,3.51
1,55,3,3,1,3.54
1,56,2,2,2,3.53
1,57,1,2,2,3.5
1,58,4,4,-1,3.46
1,59,4,4,-1,3.47
1,60,2,3,1,3.47
1,61,4,4,-1,3.45
1,62,5,5,-2,3.46
1,63,2,3,1,3.48
1,64,0,1,3,3.46
1,65,2,3,1,3.41
1,66,5,4,-2,3.38
1,67,2,3,1,3.41
1,68,3,2,0,3.39
1,69,5,5,-2,3.38
1,70,4,4,-1,3.41
1,71,5,5,-2,3.41
1,72,5,5,-2,3.44
1,73,3,4,0,3.46
1,74,2,4,1,3.45
1,75,3,3,0,3.43
1,76,2,3,1,3.43
1,77,1,3,2,3.41
1,78,5,3,-2,3.38
1,79,5,5,-2,3.4
1,80,3,3,0,3.42
1,81,2,2,1,3.41
1,82,4,4,-1,3.4
1,83,3,3,0,3.4
1,84,4,4,-1,3.4
1,85,3,3,0,3.4
1,86,2,2,1,3.4
1,87,4,4,-1,3.38
1,88,2,3,1,3.39
1,89,0,1,3,3.38
1,90,4,3,-1,3.34
1,91,5,4,-2,3.34
1,92,5,4,-2,3.36
1,93,1,3,2,3.38
1,94,3,3,0,3.35
1,95,3,3,0,3.35
1,96,3,3,0,3.35
1,97,3,4,0,3.34
1,98,2,3,1,3.34
1,99,3,4,0,3.33
1,100,3,2,0,3.32
2,1,2,2,0,2
2,2,4,3,-2,2
2,3,3,3,0,3
2,4,4,3,-1,3
2,5,3,3,0,3.25
2,6,5,3,-2,3.2
2,7,1,1,2,3.5
2,8,4,4,-1,3.14
2,9,3,3,0,3.25
2,10,4,3,-1,3.22
2,11,4,4,-1,3.3
2,12,3,3,0,3.36
2,13,5,4,-2,3.33
2,14,3,4,0,3.46
2,15,4,2,-1,3.43
2,16,4,4,-1,3.47
2,17,4,4,-0,3.5
2,18,3,3,1,3.53
2,19,3,3,0,3.5
2,20,3,2,0,3.47
2,21,4,3,-1,3.45
2,22,4,4,-1,3.48
2,23,3,2,0,3.5
2,24,3,3,0,3.48
2,25,3,4,0,3.46
2,26,3,4,0,3.44
2,27,3,3,0,3.42
2,28,4,3,-1,3.41
2,29,3,3,0,3.43
2,30,3,3,0,3.41
2,31,3,3,0,3.4
2,32,4,4,-1,3.39
2,33,2,3,1,3.41
2,34,3,3,0,3.36
2,35,3,3,0,3.35
2,36,3,4,0,3.34
2,37,2,3,1,3.33
2,38,4,3,-1,3.3
2,39,3,3,0,3.32
2,40,4,4,-1,3.31
2,41,2,3,1,3.33
2,42,4,3,-1,3.29
2,43,5,4,-2,3.31
2,44,3,3,0,3.35
2,45,3,3,0,3.34
2,46,4,5,-1,3.33
2,47,4,3,-1,3.35
2,48,4,3,-1,3.36
2,49,2,2,1,3.38
2,50,5,5,-2,3.35
2,51,3,4,0,3.38
2,52,3,3,0,3.37
2,53,1,2,2,3.37
2,54,6,4,-3,3.32
2,55,3,4,0,3.37
2,56,4,4,-1,3.36
2,57,4,5,-1,3.38
2,58,4,4,-1,3.39
2,59,1,2,2,3.4
2,60,3,4,0,3.36
2,61,3,4,0,3.35
2,62,6,5,-3,3.34
2,63,4,3,-1,3.39
2,64,5,5,-2,3.4
2,65,3,3,0,3.42
2,66,5,4,-2,3.42
2,67,2,2,1,3.44
2,68,5,5,-2,3.42
2,69,3,4,0,3.44
2,70,2,3,1,3.43
2,71,3,3,0,3.41
2,72,3,3,0,3.41
2,73,4,3,-1,3.4
2,74,2,3,1,3.41
2,75,3,4,0,3.39
2,76,2,3,1,3.39
2,77,1,2,2,3.37
2,78,4,4,-1,3.34
2,79,3,2,0,3.35
2,80,3,2,0,3.34
2,81,3,4,0,3.34
2,82,5,5,-2,3.33
2,83,4,4,-1,3.35
2,84,6,5,-3,3.36
2,85,4,4,-1,3.39
2,86,3,3,0,3.4
2,87,2,3,1,3.4
2,88,4,3,-1,3.38
2,89,4,4,-1,3.39
2,90,4,3,-1,3.39
2,91,3,3,0,3.4
2,92,4,4,-1,3.4
2,93,3,2,0,3.4
2,94,3,3,0,3.4
2,95,3,3,0,3.39
2,96,4,4,-1,3.39
2,97,3,3,0,3.4
2,98,4,3,-1,3.39
2,99,4,4,-1,3.4
2,100,4,4,-1,3.4
3,1,8,8,0,8
3,2,7,8,1,8
3,3,8,8,-0,7.5
3,4,7,8,1,7.67
3,5,6,6,2,7.5
3,6,6,6,1,7.2
3,7,6,6,1,7
3,8,6,6,1,6.86
3,9,6,7,1,6.75
3,10,6,6,1,6.67
3,11,5,6,2,6.6
3,12,5,5,1,6.45
3,13,6,6,0,6.33
3,14,4,5,2,6.31
3,15,7,7,-1,6.14
3,16,4,6,2,6.2
3,17,6,6,0,6.06
3,18,4,5,2,6.06
3,19,6,6,-0,5.94
3,20,8,7,-2,5.95
3,21,7,7,-1,6.05
3,22,6,6,0,6.1
3,23,7,6,-1,6.09
3,24,6,6,0,6.13
3,25,4,5,2,6.12
3,26,4,5,2,6.04
3,27,6,5,-0,5.96
3,28,4,6,2,5.96
3,29,6,6,-0,5.89
3,30,7,6,-1,5.9
3,31,6,6,-0,5.93
3,32,7,7,-1,5.94
3,33,7,7,-1,5.97
3,34,7,6,-1,6
3,35,7,6,-1,6.03
3,36,4,5,2,6.06
3,37,6,6,0,6
3,38,7,7,-1,6
3,39,5,6,1,6.03
3,40,6,7,0,6
3,41,6,6,0,6
3,42,5,6,1,6
3,43,5,5,1,5.98
3,44,7,7,-1,5.95
3,45,6,5,-0,5.98
3,46,4,5,2,5.98
3,47,6,6,-0,5.93
3,48,6,6,-0,5.94
3,49,8,7,-2,5.94
3,50,6,6,-0,5.98
3,51,6,6,-0,5.98
3,52,7,7,-1,5.98
3,53,7,7,-1,6
3,54,5,5,1,6.02
3,55,5,5,1,6
3,56,8,7,-2,5.98
3,57,6,6,0,6.02
3,58,5,6,1,6.02
3,59,4,6,2,6
3,60,7,8,-1,5.97
3,61,6,6,-0,5.98
3,62,8,6,-2,5.98
3,63,6,6,0,6.02
3,64,5,6,1,6.02
3,65,5,5,1,6
3,66,6,6,-0,5.98
3,67,6,5,-0,5.98
3,68,6,7,-0,5.99
3,69,5,4,1,5.99
3,70,7,6,-1,5.97
3,71,6,7,-0,5.99
3,72,5,5,1,5.99
3,73,6,6,-0,5.97
3,74,6,6,-0,5.97
3,75,6,7,-0,5.97
3,76,7,7,-1,5.97
3,77,5,5,1,5.99
3,78,6,5,-0,5.97
3,79,7,6,-1,5.97
3,80,6,7,-0,5.99
3,81,6,5,-0,5.99
3,82,7,6,-1,5.99
3,83,7,7,-1,6
3,84,3,4,3,6.01
3,85,6,6,-0,5.98
3,86,6,6,-0,5.98
3,87,5,5,1,5.98
3,88,7,6,-1,5.97
3,89,5,6,1,5.98
3,90,6,6,-0,5.97
3,91,7,6,-1,5.97
3,92,6,6,-0,5.98
3,93,6,5,-0,5.98
3,94,5,6,1,5.98
3,95,5,5,1,5.97
3,96,6,6,-0,5.96
3,97,5,5,1,5.96
3,98,5,5,1,5.95
3,99,7,7,-1,5.94
3,100,7,6,-1,5.95
4,1,5,5,0,5
4,2,4,4,1,5
4,3,4,4,0,4.5
4,4,5,5,-1,4.33
4,5,5,4,-0,4.5
4,6,2,3,3,4.6
4,7,4,4,0,4.17
4,8,4,5,0,4.14
4,9,1,3,3,4.12
4,10,4,4,-0,3.78
4,11,3,3,1,3.8
4,12,5,4,-1,3.73
4,13,5,4,-1,3.83
4,14,4,3,-0,3.92
4,15,4,4,-0,3.93
