FaceID,ParticipantID,FirstRating,SecondRating,Feedback,GroupMean
1,1,3,3,0,3
1,2,3,3,0,3
1,3,3,3,0,3
1,4,5,4,-2,3
1,5,3,4,0,3.5
1,6,5,4,-2,3.4
1,7,4,3,-0,3.67
1,8,5,4,-1,3.71
1,9,6,5,-2,3.88
1,10,3,3,1,4.11
1,11,2,4,2,4
1,12,3,3,1,3.82
1,13,2,3,2,3.75
1,14,2,2,2,3.62
1,15,3,4,0,3.5
1,16,3,4,0,3.47
1,17,1,3,2,3.44
1,18,4,4,-1,3.29
1,19,3,3,0,3.33
1,20,2,2,1,3.32
1,21,3,3,0,3.25
1,22,3,3,0,3.24
1,23,6,4,-3,3.23
1,24,4,4,-1,3.35
1,25,2,3,1,3.38
1,26,5,4,-2,3.32
1,27,3,3,0,3.38
1,28,1,3,2,3.37
1,29,2,3,1,3.29
1,30,6,3,-3,3.24
1,31,4,3,-1,3.33
1,32,1,2,2,3.35
1,33,1,2,2,3.28
1,34,2,3,1,3.21
1,35,6,3,-3,3.18
1,36,4,4,-1,3.26
1,37,4,3,-1,3.28
1,38,3,3,0,3.3
1,39,4,3,-1,3.29
1,40,4,3,-1,3.31
1,41,5,3,-2,3.33
1,42,2,5,1,3.37
1,43,3,3,0,3.33
1,44,4,3,-1,3.33
1,45,4,4,-1,3.34
1,46,3,3,0,3.36
1,47,3,4,0,3.35
1,48,2,2,1,3.34
1,49,3,3,0,3.31
1,50,4,3,-1,3.31
1,51,2,4,1,3.32
1,52,3,3,0,3.29
1,53,3,3,0,3.29
1,54,5,4,-2,3.28
1,55,4,3,-1,3.31
1,56,4,3,-1,3.33
1,57,3,3,0,3.34
1,58,2,4,1,3.33
1,59,4,3,-1,3.31
1,60,3,3,0,3.32
1,61,6,5,-3,3.32
1,62,3,4,0,3.36
1,63,3,3,0,3.35
1,64,2,3,1,3.35
1,65,5,4,-2,3.33
1,66,3,3,0,3.35
1,67,5,4,-2,3.35
1,68,2,4,1,3.37
1,69,3,3,0,3.35
1,70,2,2,1,3.35
1,71,3,4,0,3.33
1,72,5,4,-2,3.32
1,73,3,3,0,3.35
1,74,2,3,1,3.34
1,75,4,3,-1,3.32
1,76,6,4,-3,3.33
1,77,4,3,-1,3.37
1,78,3,3,0,3.38
1,79,3,3,0,3.37
1,80,4,3,-1,3.37
1,81,2,3,1,3.38
1,82,5,3,-2,3.36
1,83,3,4,0,3.38
1,84,3,3,0,3.37
1,85,3,4,0,3.37
1,86,3,3,0,3.36
1,87,3,3,0,3.36
1,88,5,4,-2,3.36
1,89,5,4,-2,3.38
1,90,3,3,0,3.39
1,91,3,3,0,3.39
1,92,3,4,0,3.38
1,93,6,5,-3,3.38
1,94,3,2,0,3.41
1,95,3,3,0,3.4
1,96,4,4,-1,3.4
1,97,4,3,-1,3.41
1,98,4,3,-1,3.41
1,99,4,4,-1,3.42
1,100,4,4,-1,3.42
2,1,2,2,0,2
2,2,4,2,-2,2
2,3,4,3,-1,3
2,4,4,4,-1,3.33
2,5,3,3,0,3.5
2,6,5,4,-2,3.4
2,7,5,4,-1,3.67
2,8,6,4,-2,3.86
2,9,6,4,-2,4.12
2,10,4,5,0,4.33
2,11,3,4,1,4.3
2,12,3,3,1,4.18
2,13,3,4,1,4.08
2,14,1,3,3,4
2,15,5,5,-1,3.79
2,16,5,5,-1,3.87
2,17,2,3,2,3.94
2,18,3,4,1,3.82
2,19,4,3,-0,3.78
2,20,6,5,-2,3.79
2,21,4,5,-0,3.9
2,22,2,4,2,3.9
2,23,3,4,1,3.82
2,24,4,4,-0,3.78
2,25,5,4,-1,3.79
2,26,5,4,-1,3.84
2,27,3,4,1,3.88
2,28,4,3,-0,3.85
2,29,2,3,2,3.86
2,30,5,4,-1,3.79
2,31,4,4,-0,3.83
2,32,6,4,-2,3.84
2,33,4,3,-0,3.91
2,34,4,4,-0,3.91
2,35,3,4,1,3.91
2,36,5,3,-1,3.89
2,37,3,4,1,3.92
2,38,3,4,1,3.89
2,39,4,4,-0,3.87
2,40,1,4,3,3.87
2,41,3,4,1,3.8
2,42,4,4,-0,3.78
2,43,5,4,-1,3.79
2,44,4,3,-0,3.81
2,45,5,4,-1,3.82
2,46,7,4,-3,3.84
2,47,3,4,1,3.91
2,48,4,4,-0,3.89
2,49,3,4,1,3.9
2,50,4,3,-0,3.88
2,51,4,4,-0,3.88
2,52,4,3,-0,3.88
2,53,4,5,-0,3.88
2,54,4,3,-0,3.89
2,55,3,4,1,3.89
2,56,3,3,1,3.87
2,57,5,4,-1,3.86
2,58,3,4,1,3.88
2,59,3,4,1,3.86
2,60,2,3,2,3.85
2,61,4,3,-0,3.82
2,62,3,4,1,3.82
2,63,5,3,-1,3.81
2,64,3,4,1,3.83
2,65,3,4,1,3.81
2,66,4,4,-0,3.8
2,67,5,4,-1,3.8
2,68,3,2,1,3.82
2,69,4,4,-0,3.81
2,70,4,4,-0,3.81
2,71,6,5,-2,3.81
2,72,4,5,-0,3.85
2,73,3,3,1,3.85
2,74,7,5,-3,3.84
2,75,6,4,-2,3.88
2,76,3,4,1,3.91
2,77,4,3,-0,3.89
2,78,4,3,-0,3.9
2,79,5,5,-1,3.9
2,80,1,4,3,3.91
2,81,2,4,2,3.88
2,82,5,4,-1,3.85
2,83,3,4,1,3.87
2,84,4,4,-0,3.86
2,85,1,2,3,3.86
2,86,5,5,-1,3.82
2,87,4,4,-0,3.84
2,88,5,3,-1,3.84
2,89,5,4,-1,3.85
2,90,4,4,-0,3.87
2,91,5,4,-1,3.87
2,92,4,4,-0,3.88
2,93,2,4,2,3.88
2,94,5,5,-1,3.86
2,95,4,4,-0,3.87
2,96,6,4,-2,3.87
2,97,2,3,2,3.9
2,98,3,4,1,3.88
2,99,6,4,-2,3.87
2,100,4,4,-0,3.89
3,1,6,6,0,6
3,2,7,6,-1,6
3,3,7,7,-0,6.5
3,4,7,6,-0,6.67
3,5,8,7,-1,6.75
3,6,6,7,1,7
3,7,7,6,-0,6.83
3,8,5,6,2,6.86
3,9,6,7,1,6.62
3,10,6,7,1,6.56
3,11,5,6,2,6.5
3,12,7,7,-1,6.36
3,13,4,6,2,6.42
3,14,5,5,1,6.23
3,15,6,6,0,6.14
3,16,6,6,0,6.13
3,17,7,6,-1,6.12
3,18,5,6,1,6.18
3,19,6,6,0,6.11
3,20,5,6,1,6.11
3,21,7,6,-1,6.05
3,22,5,6,1,6.1
3,23,7,7,-1,6.05
3,24,7,6,-1,6.09
3,25,6,6,0,6.12
3,26,7,6,-1,6.12
3,27,4,6,2,6.15
3,28,8,7,-2,6.07
3,29,7,7,-1,6.14
3,30,5,6,1,6.17
3,31,6,6,0,6.13
3,32,7,6,-1,6.13
3,33,7,7,-1,6.16
3,34,4,6,2,6.18
3,35,8,6,-2,6.12
3,36,7,6,-1,6.17
3,37,7,7,-1,6.19
3,38,8,6,-2,6.22
3,39,6,6,0,6.26
3,40,6,6,0,6.26
3,41,5,6,1,6.25
3,42,5,7,1,6.22
3,43,4,6,2,6.19
3,44,7,7,-1,6.14
3,45,6,6,0,6.16
3,46,7,6,-1,6.16
3,47,5,6,1,6.17
3,48,5,7,1,6.15
3,49,7,6,-1,6.12
3,50,4,6,2,6.14
3,51,5,6,1,6.1
3,52,4,6,2,6.08
3,53,5,6,1,6.04
3,54,6,6,0,6.02
3,55,7,6,-1,6.02
3,56,2,5,3,6.04
3,57,7,6,-1,5.96
3,58,6,5,-0,5.98
3,59,6,5,-0,5.98
3,60,7,7,-1,5.98
3,61,7,6,-1,6
3,62,6,5,0,6.02
3,63,7,6,-1,6.02
3,64,5,5,1,6.03
3,65,6,6,0,6.02
3,66,5,5,1,6.02
3,67,8,6,-2,6
3,68,7,5,-1,6.03
3,69,5,5,1,6.04
3,70,4,6,2,6.03
3,71,4,6,2,6
3,72,7,6,-1,5.97
3,73,5,6,1,5.99
3,74,6,5,-0,5.97
3,75,4,7,2,5.97
3,76,5,5,1,5.95
3,77,7,6,-1,5.93
3,78,4,4,2,5.95
3,79,6,7,-0,5.92
3,80,7,6,-1,5.92
3,81,5,6,1,5.94
3,82,6,6,-0,5.93
3,83,5,6,1,5.93
3,84,5,6,1,5.92
3,85,7,7,-1,5.9
3,86,4,5,2,5.92
3,87,7,5,-1,5.9
3,88,6,6,-0,5.91
3,89,7,6,-1,5.91
3,90,7,6,-1,5.92
3,91,7,7,-1,5.93
3,92,8,6,-2,5.95
3,93,3,5,3,5.97
3,94,6,6,-0,5.94
3,95,7,7,-1,5.94
3,96,5,6,1,5.95
3,97,6,6,-0,5.94
3,98,6,5,-0,5.94
3,99,5,5,1,5.94
3,100,5,5,1,5.93
4,1,5,5,0,5
4,2,3,4,2,5
4,3,3,4,1,4
4,4,4,4,-0,3.67
4,5,4,3,-0,3.75
4,6,4,4,-0,3.8
4,7,6,4,-2,3.83
4,8,2,5,2,4.14
4,9,4,4,-0,3.88
4,10,5,3,-1,3.89
4,11,3,3,1,4
4,12,3,4,1,3.91
4,13,2,4,2,3.83
4,14,4,3,-0,3.69
4,15,4,4,-0,3.71
4,16,5,4,-1,3.73
4,17,4,4,-0,3.81
4,18,6,5,-2,3.82
4,19,5,4,-1,3.94
4,20,5,4,-1,4
4,21,3,3,1,4.05
4,22,5,3,-1,4
4,23,4,4,0,4.05
4,24,5,4,-1,4.04
4,25,3,4,1,4.08
4,26,6,5,-2,4.04
4,27,2,4,2,4.12
4,28,4,4,0,4.04
4,29,5,4,-1,4.04
4,30,4,5,0,4.07
4,31,5,5,-1,4.07
4,32,7,5,-3,4.1
4,33,4,3,0,4.19
4,34,7,5,-3,4.18
4,35,7,5,-3,4.26
4,36,6,5,-2,4.34
4,37,5,5,-1,4.39
4,38,4,4,0,4.41
4,39,5,4,-1,4.39
4,40,2,4,2,4.41
4,41,5,5,-1,4.35
4,42,5,4,-1,4.37
4,43,5,5,-1,4.38
4,44,6,5,-2,4.4
4,45,4,5,0,4.43
4,46,2,4,2,4.42
4,47,5,4,-1,4.37
4,48,4,5,0,4.38
4,49,4,4,0,4.38
4,50,5,4,-1,4.37
4,51,5,5,-1,4.38
4,52,4,4,0,4.39
4,53,3,4,1,4.38
4,54,5,4,-1,4.36
4,55,2,3,2,4.37
4,56,5,4,-1,4.33
4,57,5,5,-1,4.34
4,58,4,5,0,4.35
4,59,5,4,-1,4.34
4,60,4,5,0,4.36
4,61,5,4,-1,4.35
4,62,5,5,-1,4.36
4,63,4,4,0,4.37
4,64,4,5,0,4.37
4,65,4,4,0,4.36
4,66,1,3,3,4.35
4,67,4,4,0,4.3
4,68,4,5,0,4.3
4,69,4,5,0,4.29
4,70,3,3,1,4.29
4,71,3,4,1,4.27
4,72,4,5,0,4.25
